0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
38285,364,131,52,35,21,17,13,5,9,2,1,0,0,0,0,0,0,0,0
38904,19,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38588,248,44,30,7,3,7,0,2,2,2,1,1,0,0,0,0,0,0,0
38807,93,19,7,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
38636,179,49,25,13,6,6,4,5,4,2,1,2,2,1,0,0,0,0,0
38696,147,36,22,6,5,7,6,4,0,0,2,3,0,1,0,0,0,0,0
38817,104,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38876,49,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38924,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38887,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38847,66,11,4,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
38698,203,27,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38683,192,40,11,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
37611,721,249,98,66,37,34,27,25,16,14,7,9,5,8,3,1,1,3,0
38436,208,89,58,46,18,22,14,9,6,6,10,7,1,3,2,0,0,0,0
38801,114,15,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38302,460,107,22,10,9,4,4,5,3,0,0,5,0,1,2,1,0,0,0
38851,76,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38226,446,141,49,30,7,8,6,4,2,2,1,5,0,1,1,0,2,0,4
38824,78,11,5,9,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0
38879,40,8,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38565,290,59,11,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38932,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38803,81,25,12,7,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0
10366,3041,1961,983,666,665,521,560,780,1225,2022,2908,3507,3643,2473,1389,909,766,484,66
31732,4258,1347,567,298,216,132,93,78,62,55,36,29,13,8,4,6,1,0,0
36760,1146,397,185,103,76,61,57,41,36,20,23,12,9,4,4,1,0,0,0
36221,1399,497,240,140,95,56,62,54,42,41,26,21,18,11,8,3,1,0,0
38629,226,50,20,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38770,105,25,12,8,5,2,4,0,1,1,0,0,0,1,0,0,1,0,0
37884,449,193,123,86,58,51,27,22,16,12,7,4,2,1,0,0,0,0,0
38741,120,37,10,9,7,3,4,3,1,0,0,0,0,0,0,0,0,0,0
38888,22,11,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38092,439,163,68,59,37,30,24,13,7,3,0,0,0,0,0,0,0,0,0
38788,96,25,10,6,3,2,0,1,3,1,0,0,0,0,0,0,0,0,0
38850,43,17,11,3,3,1,2,3,1,0,0,0,0,0,0,1,0,0,0
38708,170,35,7,5,1,2,1,1,1,0,0,0,0,2,1,0,1,0,0
38715,169,24,12,2,5,4,2,0,2,0,0,0,0,0,0,0,0,0,0
38833,55,16,9,1,6,3,3,1,2,1,0,0,1,1,1,0,2,0,0
37853,597,203,90,45,38,22,26,21,19,9,5,5,2,0,0,0,0,0,0
37769,602,231,97,56,35,21,29,16,24,16,16,10,8,4,1,0,0,0,0
38252,386,130,59,39,24,21,9,8,5,2,0,0,0,0,0,0,0,0,0
38730,102,37,24,12,12,7,0,5,0,2,0,0,2,0,0,0,2,0,0
38825,56,21,10,12,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
38826,63,26,5,5,1,1,5,0,1,1,0,1,0,0,0,0,0,0,0
38641,202,54,17,7,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0
38720,180,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38741,119,30,27,6,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0
38304,435,91,47,27,12,6,7,3,1,2,0,0,0,0,0,0,0,0,0
38089,542,174,42,23,17,8,16,8,5,5,2,1,2,1,0,0,0,0,0
38549,254,67,30,17,5,4,3,1,4,0,0,0,0,1,0,0,0,0,0
37835,727,212,55,35,14,16,16,6,5,7,0,2,3,0,2,0,0,0,0
38491,323,53,28,11,13,4,4,3,0,1,3,1,0,0,0,0,0,0,0
38717,141,34,23,7,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
38854,69,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38375,412,65,26,12,21,10,5,2,1,5,1,0,0,0,0,0,0,0,0
38563,232,68,28,23,6,7,3,2,2,1,0,0,0,0,0,0,0,0,0
38912,16,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38768,129,19,6,6,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0
38794,106,19,4,6,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0
38869,45,7,5,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
38890,25,12,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38902,23,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38896,25,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38749,133,36,11,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38902,25,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38396,377,99,33,15,6,3,2,2,2,0,0,0,0,0,0,0,0,0,0
38222,482,141,53,20,7,3,2,2,0,3,0,0,0,0,0,0,0,0,0
38177,457,182,63,25,13,7,3,1,4,2,1,0,0,0,0,0,0,0,0
38792,100,21,12,2,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0
